Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
1.38247E-6,0.000138247,0.008845583,1,0,0
1.39988E-6,0.000278235,0.00895596,0.999901088,0,0
3.79334E-6,0.000821494,0.023902501,0.999703264,0,0
6.37155E-6,0.001458649,0.03950647,0.999604352,0,0
8.2706E-6,0.003065779,0.050684621,0.999406528,0,0
9.67189E-6,0.005758165,0.0587675,0.999109792,0,0
1.51688E-5,0.011045492,0.089188179,0.998714144,0,0
1.69821E-5,0.025862908,0.098796801,0.997823937,0,0
1.89073E-5,0.051049496,0.108778569,0.996439169,0,0
2.02288E-5,0.100290122,0.115503279,0.99396637,0,0
2.14332E-5,0.200980365,0.121544436,0.989218595,0,0
2.26476E-5,0.30201231,0.127552798,0.984668645,0,0
2.37892E-5,0.401995334,0.133126413,0.98041543,0,0
2.4688E-5,0.501573118,0.137464562,0.97636004,0,0
2.52111E-5,0.601353775,0.139969775,0.972403561,0,0
2.57086E-5,0.700441167,0.142338737,0.968545994,0,0
2.59226E-5,0.752089693,0.143353756,0.966567755,0,0
2.62311E-5,0.801648552,0.144812422,0.964688427,0,0
2.68091E-5,0.902463833,0.147532644,0.960929773,0,0
2.72712E-5,1.002618004,0.14969507,0.95727003,0,0
2.76053E-5,1.101435218,0.15125147,0.953709199,0,0
2.80807E-5,1.201691434,0.153456767,0.950148368,0,0
2.85381E-5,1.300869033,0.155567591,0.946686449,0,0
2.89365E-5,1.401487618,0.157397343,0.94322453,0,0
2.94383E-5,1.500716335,0.159690935,0.939861523,0,0
3.04012E-5,1.752564535,0.164057264,0.931552918,0,0
3.13443E-5,2.002876877,0.168290278,0.923541048,0,0
3.20588E-5,2.250612661,0.171468628,0.915825915,0,0
3.27869E-5,2.500291953,0.174682581,0.908209693,0,0
3.34943E-5,2.752437725,0.177781505,0.900692384,0,0
3.40703E-5,3.00262142,0.180287736,0.893372898,0,0
3.4794E-5,3.25046494,0.183414911,0.886251236,0,0
3.5406E-5,3.503384078,0.186040725,0.879129575,0,0
3.59635E-5,3.753336562,0.188418399,0.872205737,0,0
3.65111E-5,4.003341112,0.190740008,0.865380811,0,0
3.71994E-5,4.250293287,0.193639448,0.858753709,0,0
3.78043E-5,4.501518711,0.196170518,0.852126607,0,0
3.83849E-5,4.753051971,0.198584958,0.845598417,0,0
3.8908E-5,5.000432231,0.200748113,0.839268051,0,0
