Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
9.90376E-7,0.000099038,0.006418957,1,0,0
4.11055E-6,0.000510092,0.026113718,0.999901098,0,0
6.58519E-6,0.001168611,0.041187263,0.999802196,0,0
7.87072E-6,0.002690751,0.048835013,0.999604391,0,0
8.90245E-6,0.005194399,0.05488519,0.999307685,0,0
1.01141E-5,0.010057799,0.061892836,0.998813174,0,0
1.14298E-5,0.025615016,0.069385479,0.997428543,0,0
1.27659E-5,0.050957626,0.076872751,0.995351597,0,0
1.44316E-5,0.101022463,0.086040255,0.991692216,0,0
1.60222E-5,0.200231542,0.094626044,0.985263574,0,0.025641026
1.75252E-5,0.300899412,0.102592153,0.979329443,0,0.025641026
1.87884E-5,0.401039541,0.109179614,0.973889823,0,0.025641026
1.99292E-5,0.501068385,0.115046224,0.968746909,0,0.025641026
2.093E-5,0.600853328,0.120129159,0.963900702,0,0.025641026
2.21493E-5,0.700220569,0.12624422,0.959351202,0,0.025641026
2.26708E-5,0.751821084,0.128833749,0.957076451,0,0.025641026
2.30864E-5,0.802166582,0.130886163,0.954900603,0,0.025641026
2.41223E-5,0.901194623,0.135960706,0.950746712,0,0.025641026
2.48693E-5,1.001747049,0.139583087,0.946691722,0,0.025641026
2.56115E-5,1.100165436,0.143152814,0.942834537,0,0.025641026
2.6132E-5,1.201071257,0.145638164,0.938977351,0,0.025641026
2.68049E-5,1.301911018,0.148830459,0.935219068,0,0.025641026
2.76492E-5,1.402738023,0.152801781,0.931559687,0,0.025641026
2.83522E-5,1.500832182,0.156080384,0.928098111,0,0.025641026
2.97785E-5,1.750603878,0.162655448,0.919592523,0,0.025641026
3.09856E-5,2.000555734,0.16814019,0.911482544,0.008474576,0.051282051
3.20087E-5,2.250063508,0.172732823,0.903669271,0.008474576,0.051282051
3.2815E-5,2.503200631,0.176316905,0.895954901,0.008474576,0.076923077
3.3531E-5,2.752036481,0.17947322,0.888537237,0.008474576,0.076923077
3.41499E-5,3.002317135,0.182182619,0.881218475,0.008474576,0.076923077
3.47721E-5,3.25055688,0.184888309,0.874097518,0.008474576,0.076923077
3.5331E-5,3.503038484,0.187303225,0.86697656,0.008474576,0.076923077
3.58825E-5,3.751938174,0.189672236,0.860053407,0.033898305,0.102564103
3.63304E-5,4.001205968,0.191586364,0.853229156,0.033898305,0.128205128
3.67928E-5,4.253546011,0.193552751,0.846404906,0.042372881,0.128205128
3.72599E-5,4.501495454,0.195529488,0.839778459,0.042372881,0.128205128
3.77397E-5,4.75272561,0.197550097,0.833152013,0.042372881,0.128205128
3.83021E-5,5.003633412,0.199905351,0.826624468,0.042372881,0.128205128
3.88207E-5,5.250450924,0.202065467,0.820294729,0.042372881,0.128205128
3.93794E-5,5.500780929,0.204378885,0.813964989,0.042372881,0.128205128
3.99486E-5,5.750802661,0.206722488,0.807734151,0.042372881,0.128205128
4.03269E-5,6.003811394,0.208272446,0.801503313,0.042372881,0.128205128
4.08008E-5,6.251285582,0.210205541,0.79547028,0.042372881,0.128205128
