Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
1.4872E-6,0.00014872,0.01009399,1,0,0
2.40457E-6,0.000389177,0.016219476,0.999901098,0,0
3.23484E-6,0.000712661,0.021698355,0.999802196,0,0
3.41252E-6,0.001053913,0.022862885,0.999703293,0,0
3.95673E-6,0.002588478,0.026412677,0.999307685,0,0
4.28608E-6,0.005087084,0.028548439,0.998714272,0,0
4.76237E-6,0.010086017,0.031620582,0.997626348,0,0
6.10143E-6,0.025434425,0.040154475,0.994857086,0,0
6.94494E-6,0.050043335,0.045453409,0.991098803,0,0
8.69568E-6,0.10044219,0.05626695,0.984769063,0,0
1.04991E-5,0.200886885,0.067152511,0.974483236,0,0
1.24014E-5,0.300392941,0.078366405,0.965977648,0,0
1.36565E-5,0.401059492,0.085618671,0.95836218,0,0
1.46324E-5,0.500010554,0.091178875,0.951439027,0,0
1.57631E-5,0.600238311,0.097537538,0.944911483,0,0
1.6652E-5,0.700916792,0.102473888,0.938779547,0,0
1.70471E-5,0.751547803,0.104651081,0.935812481,0,0
1.73847E-5,0.801550367,0.106502642,0.932944318,0,0
1.82795E-5,0.901371062,0.111374272,0.927405796,0,0
1.91153E-5,1.000583777,0.115876264,0.92216398,0,0
1.99571E-5,1.100304862,0.12036535,0.917119968,0,0
2.06081E-5,1.201605409,0.123805253,0.912174859,0,0
2.124E-5,1.300011009,0.127119042,0.907526456,0,0
2.19852E-5,1.401432529,0.130994858,0.902878054,0,0.025641026
2.27231E-5,1.501883553,0.134798793,0.898427455,0,0.025641026
2.41671E-5,1.751068533,0.142147202,0.887943824,0,0.025641026
2.53961E-5,2.000957093,0.148303971,0.877954703,0,0.025641026
2.66591E-5,2.251001163,0.15453932,0.868460093,0,0.025641026
2.80962E-5,2.500124057,0.16152455,0.859459994,0,0.051282051
2.91434E-5,2.752565203,0.166542182,0.850756602,0.008474576,0.102564103
3.02336E-5,3.001758769,0.171702435,0.842448818,0.008474576,0.102564103
3.12505E-5,3.250810408,0.176458766,0.834437741,0.008474576,0.102564103
3.22078E-5,3.502165229,0.18088649,0.826624468,0.016949153,0.128205128
3.34221E-5,3.75190458,0.186434737,0.819107902,0.025423729,0.128205128
3.41935E-5,4.002025308,0.189920638,0.811789141,0.025423729,0.128205128
3.5189E-5,4.251332244,0.194375106,0.804668183,0.025423729,0.128205128
3.61571E-5,4.500935482,0.198660435,0.79774503,0.025423729,0.153846154
3.71217E-5,4.753451659,0.202884715,0.790920779,0.025423729,0.153846154
3.79671E-5,5.001157865,0.206550882,0.784393235,0.033898305,0.153846154
3.88708E-5,5.251112564,0.210432821,0.777964593,0.050847458,0.153846154
3.94353E-5,5.501520965,0.212838445,0.771634853,0.050847458,0.153846154
4.01359E-5,5.75243286,0.2158037,0.765404015,0.050847458,0.153846154
4.07158E-5,6.003198881,0.218241141,0.75927208,0.050847458,0.153846154
4.14768E-5,6.253980081,0.221416955,0.753239047,0.050847458,0.179487179
4.20689E-5,6.500452655,0.223870029,0.747403818,0.050847458,0.179487179
4.26275E-5,6.750300023,0.226170461,0.741568589,0.050847458,0.179487179
4.34205E-5,7.004035156,0.229412554,0.73573336,0.050847458,0.179487179
4.39924E-5,7.25300801,0.231734104,0.730095935,0.059322034,0.230769231
4.45063E-5,7.500679404,0.233808045,0.724557413,0.059322034,0.230769231
4.51163E-5,7.751794164,0.236255517,0.71901889,0.059322034,0.230769231
4.59728E-5,8.002324655,0.239665957,0.71357927,0.059322034,0.230769231
4.66501E-5,8.252396173,0.242341169,0.708238552,0.059322034,0.230769231
4.72409E-5,8.501224091,0.244659431,0.702996736,0.059322034,0.230769231
4.78484E-5,8.753185795,0.247028504,0.69775492,0.059322034,0.230769231
4.84334E-5,9.003545358,0.249295779,0.692612007,0.059322034,0.230769231
4.9067E-5,9.252152139,0.251735958,0.687567995,0.059322034,0.230769231
4.95403E-5,9.503490828,0.253548339,0.682523984,0.059322034,0.230769231
5.01689E-5,9.752668166,0.255942303,0.677578874,0.06779661,0.230769231
5.07158E-5,10.000191472,0.25801245,0.672732667,0.06779661,0.230769231
5.12286E-5,10.254963642,0.259943203,0.667787558,0.06779661,0.230769231
5.17835E-5,10.502008235,0.262021135,0.663040253,0.06779661,0.230769231
5.23254E-5,10.752174234,0.2640391,0.658292948,0.06779661,0.230769231
5.30073E-5,11.005029233,0.266562858,0.653545643,0.06779661,0.230769231
5.35553E-5,11.250113103,0.268578329,0.648996143,0.06779661,0.230769231
5.4172E-5,11.503320859,0.270833658,0.64434774,0.06779661,0.230769231
5.47588E-5,11.753992147,0.272966334,0.63979824,0.06779661,0.230769231
5.52474E-5,12.00149903,0.274732689,0.635347641,0.06779661,0.230769231
5.5802E-5,12.251189594,0.276727753,0.630897043,0.06779661,0.230769231
5.63431E-5,12.503528282,0.278663145,0.626446444,0.06779661,0.230769231
5.67762E-5,12.752482534,0.28020491,0.622094748,0.06779661,0.230769231
5.73044E-5,13.003333972,0.282076557,0.617743052,0.076271186,0.282051282
5.77795E-5,13.250574121,0.283751665,0.613490258,0.076271186,0.282051282
5.81956E-5,13.500071039,0.285212013,0.609237464,0.076271186,0.282051282
5.86344E-5,13.751302126,0.286746103,0.60498467,0.076271186,0.282051282
5.90488E-5,14.004275434,0.28818872,0.600731876,0.076271186,0.282051282
5.96301E-5,14.253543539,0.290202393,0.596577984,0.076271186,0.282051282
6.01381E-5,14.505001099,0.291952713,0.592424093,0.076271186,0.282051282
6.0679E-5,14.752618664,0.293807336,0.588369103,0.076271186,0.282051282
6.11786E-5,15.002351317,0.295511349,0.584314113,0.076271186,0.282051282
6.17046E-5,15.254183193,0.297296969,0.580259124,0.076271186,0.307692308
6.21697E-5,15.502068086,0.298867971,0.576303036,0.076271186,0.307692308
6.25955E-5,15.751512364,0.30030004,0.572346949,0.076271186,0.307692308
6.31277E-5,16.003117964,0.30208213,0.568390861,0.076271186,0.307692308
6.35317E-5,16.250132699,0.303428866,0.564533676,0.076271186,0.307692308
6.39826E-5,16.505309035,0.304925601,0.560577589,0.076271186,0.307692308
6.46324E-5,16.756034895,0.307071558,0.556720404,0.076271186,0.307692308
6.50573E-5,17.00240969,0.308467531,0.55296212,0.076271186,0.307692308
6.53974E-5,17.250293223,0.309580691,0.549203837,0.076271186,0.307692308
6.58952E-5,17.506467955,0.311203879,0.545346652,0.076271186,0.307692308
6.63202E-5,17.751124634,0.312583805,0.541687271,0.076271186,0.307692308
6.67382E-5,18.003937639,0.31393546,0.537928988,0.076271186,0.307692308
6.72116E-5,18.251767553,0.315459686,0.534269607,0.076271186,0.307692308
6.76284E-5,18.501238474,0.316796162,0.530610226,0.076271186,0.307692308
6.81005E-5,18.752186393,0.318303917,0.526950846,0.076271186,0.307692308
6.86691E-5,19.005118204,0.320110838,0.523291465,0.076271186,0.307692308
6.90283E-5,19.25305521,0.321247454,0.519730986,0.076271186,0.307692308
6.96698E-5,19.502828414,0.323267763,0.516170507,0.076271186,0.307692308
7.01376E-5,19.75446574,0.324733378,0.512610029,0.076271186,0.307692308
7.04779E-5,20.000659088,0.325795547,0.509148452,0.084745763,0.307692308
7.0916E-5,20.25524454,0.327158166,0.505587973,0.084745763,0.307692308
7.12591E-5,20.504095566,0.328221438,0.502126397,0.084745763,0.307692308
7.1624E-5,20.754105565,0.32934871,0.49866482,0.084745763,0.307692308
7.21156E-5,21.00574512,0.330861515,0.495203244,0.084745763,0.307692308
7.27297E-5,21.252093137,0.332741204,0.49184057,0.084745763,0.307692308
7.31573E-5,21.50025183,0.33404421,0.488477895,0.084745763,0.307692308
7.38619E-5,21.750207215,0.336179981,0.485115221,0.084745763,0.307692308
7.42294E-5,22.002009039,0.337288394,0.481752547,0.084745763,0.307692308
7.48205E-5,22.255428333,0.339063555,0.478389872,0.084745763,0.307692308
7.53382E-5,22.503325732,0.340610468,0.4751261,0.084745763,0.307692308
7.57745E-5,22.752614002,0.341908547,0.471862328,0.084745763,0.307692308
7.6149E-5,23.003274548,0.343018856,0.468598556,0.084745763,0.307692308
7.65761E-5,23.255292032,0.344280217,0.465334784,0.084745763,0.307692308
7.69951E-5,23.5009653,0.34551335,0.462169914,0.084745763,0.307692308
7.73924E-5,23.755714034,0.346678152,0.458906142,0.084745763,0.307692308
7.78392E-5,24.004163928,0.347982925,0.455741272,0.101694915,0.307692308
7.84597E-5,24.25439682,0.349786566,0.452576402,0.110169492,0.358974359
7.88612E-5,24.506144045,0.350948335,0.449411532,0.110169492,0.358974359
7.9259E-5,24.751303759,0.352095569,0.446345564,0.110169492,0.358974359
7.96724E-5,25.005546397,0.35328323,0.443180694,0.110169492,0.358974359
8.01195E-5,25.253216718,0.354562764,0.440114727,0.110169492,0.358974359
8.04294E-5,25.502100437,0.355446767,0.437048759,0.118644068,0.358974359
8.0916E-5,25.752230576,0.356829715,0.433982791,0.127118644,0.358974359
8.12746E-5,26.00355669,0.357845357,0.430916823,0.127118644,0.358974359
8.17014E-5,26.256220213,0.359049692,0.427850856,0.127118644,0.358974359
8.20217E-5,26.501798431,0.359950798,0.42488379,0.127118644,0.358974359
8.26416E-5,26.757021853,0.361687082,0.421817822,0.13559322,0.358974359
8.30824E-5,27.005478614,0.362916251,0.418850757,0.13559322,0.358974359
8.36792E-5,27.255518065,0.364572577,0.415883691,0.13559322,0.358974359
8.42104E-5,27.507433698,0.36603985,0.412916625,0.13559322,0.41025641
8.4719E-5,27.752351854,0.367438323,0.410048462,0.13559322,0.41025641
8.51756E-5,28.007243254,0.368688527,0.407081396,0.13559322,0.41025641
8.5676E-5,28.255002581,0.370053038,0.404213233,0.13559322,0.41025641
8.63829E-5,28.504704723,0.371970536,0.40134507,0.13559322,0.41025641
8.67823E-5,28.755765437,0.373048711,0.398476906,0.144067797,0.41025641
8.73412E-5,29.008135647,0.374551511,0.395608743,0.144067797,0.41025641
8.79056E-5,29.253446757,0.376061609,0.392839482,0.152542373,0.41025641
8.84054E-5,29.500311071,0.377392866,0.390070221,0.152542373,0.41025641
8.87359E-5,29.757214521,0.378270069,0.387202057,0.152542373,0.41025641
8.9189E-5,30.006208929,0.379468485,0.384432796,0.152542373,0.41025641
8.9686E-5,30.256673573,0.38077788,0.381663535,0.152542373,0.41025641
9.0185E-5,30.508516455,0.382087059,0.378894274,0.152542373,0.41025641
9.07452E-5,30.752906933,0.383550136,0.376223915,0.152542373,0.41025641
9.13667E-5,31.008010295,0.385165146,0.373454653,0.169491525,0.435897436
9.18425E-5,31.255265975,0.386395943,0.370784294,0.169491525,0.435897436
9.2176E-5,31.503680414,0.387255835,0.368113935,0.169491525,0.435897436
9.26823E-5,31.753026679,0.388556269,0.365443576,0.186440678,0.435897436
9.32556E-5,32.003989619,0.390022311,0.362773217,0.186440678,0.435897436
9.37534E-5,32.256530229,0.39128972,0.360102858,0.194915254,0.435897436
9.4191E-5,32.50085985,0.392399479,0.357531401,0.194915254,0.435897436
9.46698E-5,32.755813876,0.393608978,0.354861042,0.194915254,0.435897436
9.50081E-5,33.002472402,0.394460633,0.352289586,0.194915254,0.435897436
9.55571E-5,33.250220724,0.395837886,0.349718129,0.194915254,0.435897436
