Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
6.08113E-7,0.000060811,0.003715201,1,0,0
6.4123E-7,0.000124934,0.003916732,0.999901127,0,0
7.61159E-7,0.000266159,0.004645872,0.999703381,0,0
8.58019E-7,0.00052238,0.005233983,0.999406763,0,0
1.16719E-6,0.001075285,0.007106534,0.998912399,0,0
1.58293E-6,0.002599538,0.00961349,0.997824797,0,0
2.16825E-6,0.005047861,0.013121599,0.99653945,0,0
3.23044E-6,0.010008722,0.019424815,0.994759739,0,0
5.35827E-6,0.025020235,0.031812581,0.991496935,0,0
7.25654E-6,0.050452693,0.042602613,0.987542021,0,0
9.62235E-6,0.100811008,0.055718232,0.98160965,0,0
1.46109E-5,0.200400638,0.082229172,0.973502076,0,0.025641026
1.69283E-5,0.300356328,0.094044755,0.967174214,0,0.025641026
1.91622E-5,0.401315105,0.105150083,0.961637334,0.008474576,0.051282051
2.09076E-5,0.500151029,0.113639651,0.956792565,0.008474576,0.051282051
2.20742E-5,0.60148505,0.119224245,0.952145541,0.008474576,0.051282051
2.2924E-5,0.700952,0.123248382,0.947795135,0.008474576,0.051282051
2.33395E-5,0.751884371,0.125202536,0.945619933,0.008474576,0.051282051
2.37763E-5,0.801341993,0.127247825,0.943543603,0.008474576,0.051282051
2.43757E-5,0.900090671,0.130038418,0.939489816,0.008474576,0.051282051
2.49066E-5,1.001216737,0.132495336,0.935436029,0.008474576,0.051282051
2.53803E-5,1.101822855,0.134676148,0.931481115,0.008474576,0.051282051
2.60352E-5,1.202089667,0.137672408,0.927625074,0.008474576,0.051282051
2.64861E-5,1.301850903,0.139723605,0.923867906,0.008474576,0.051282051
2.699E-5,1.400841714,0.142004479,0.92020961,0.008474576,0.051282051
2.75295E-5,1.501751428,0.14443295,0.916551315,0.008474576,0.051282051
2.8858E-5,1.750168046,0.15035519,0.907850504,0.008474576,0.051282051
3.00339E-5,2.000221937,0.155528856,0.899446312,0.008474576,0.051282051
3.097E-5,2.250485194,0.159602889,0.891338738,0.033898305,0.076923077
3.18534E-5,2.501944011,0.163411259,0.88342891,0.033898305,0.076923077
3.26407E-5,2.750260393,0.166776607,0.875815701,0.033898305,0.076923077
3.32977E-5,3.000795662,0.169564533,0.868301364,0.033898305,0.076923077
3.40518E-5,3.253101739,0.172741263,0.860885901,0.033898305,0.076923077
3.47449E-5,3.500734471,0.175639528,0.853767056,0.033898305,0.076923077
3.54653E-5,3.753321845,0.17863096,0.84664821,0.033898305,0.076923077
3.60372E-5,4.00351443,0.180989927,0.839727111,0.042372881,0.076923077
3.67386E-5,4.250665296,0.183864834,0.833003757,0.042372881,0.076923077
3.73224E-5,4.502471863,0.186242593,0.826280403,0.050847458,0.102564103
3.79106E-5,4.750671868,0.188624113,0.819754795,0.050847458,0.128205128
3.84659E-5,5.002781157,0.190859754,0.813229187,0.050847458,0.128205128
3.90129E-5,5.250634898,0.193049858,0.806901325,0.050847458,0.128205128
3.95865E-5,5.502044552,0.195333823,0.800573463,0.050847458,0.128205128
4.01121E-5,5.752973168,0.197415433,0.794344473,0.050847458,0.128205128
4.06313E-5,6.003159023,0.19946093,0.788214356,0.050847458,0.153846154
4.12252E-5,6.252702129,0.201788015,0.782183113,0.050847458,0.153846154
4.16932E-5,6.501848318,0.203612406,0.776250742,0.050847458,0.153846154
4.21426E-5,6.753408764,0.205356526,0.770318371,0.050847458,0.153846154
4.27621E-5,7.003564898,0.207747945,0.764484872,0.050847458,0.153846154
4.32691E-5,7.253127596,0.209694539,0.758750247,0.050847458,0.153846154
4.37675E-5,7.501188382,0.211598981,0.753114495,0.050847458,0.153846154
4.42483E-5,7.751949233,0.213427248,0.747478742,0.050847458,0.153846154
4.47943E-5,8.001331725,0.215493404,0.741941863,0.050847458,0.153846154
4.54438E-5,8.253787366,0.217937002,0.736404983,0.050847458,0.153846154
4.5971E-5,8.500587669,0.219909157,0.731065849,0.050847458,0.153846154
4.63663E-5,8.754567646,0.221381614,0.725627843,0.076271186,0.179487179
4.69565E-5,9.001815547,0.223569771,0.720387582,0.084745763,0.179487179
4.7499E-5,9.252360081,0.22556978,0.715147321,0.084745763,0.179487179
4.79121E-5,9.500475124,0.227086332,0.710005932,0.084745763,0.179487179
4.83506E-5,9.750751777,0.22868908,0.704864544,0.084745763,0.179487179
4.8807E-5,10.003383544,0.230350688,0.699723156,0.084745763,0.179487179
4.92394E-5,10.253451935,0.231918281,0.694680641,0.093220339,0.205128205
4.96707E-5,10.500685992,0.233475252,0.689736998,0.093220339,0.205128205
5.0286E-5,10.750682713,0.235685678,0.684793356,0.093220339,0.205128205
5.08908E-5,11.003755431,0.23784622,0.679849713,0.093220339,0.230769231
5.12968E-5,11.254145013,0.239289835,0.675004944,0.093220339,0.230769231
5.16702E-5,11.501364348,0.240612414,0.670259047,0.093220339,0.230769231
5.21895E-5,11.750530462,0.242444549,0.66551315,0.093220339,0.230769231
5.25649E-5,12.001901688,0.243763228,0.660767253,0.093220339,0.230769231
5.30693E-5,12.25026059,0.245527875,0.656120229,0.093220339,0.230769231
5.35357E-5,12.50090459,0.247152542,0.651473205,0.093220339,0.230769231
5.39539E-5,12.753636822,0.248603275,0.646826182,0.093220339,0.230769231
5.43592E-5,13.002666361,0.25000386,0.64227803,0.093220339,0.230769231
5.47768E-5,13.253793155,0.251441507,0.637729879,0.093220339,0.230769231
5.5143E-5,13.501092056,0.252697656,0.633280601,0.093220339,0.230769231
5.55721E-5,13.750200256,0.254164309,0.628831323,0.093220339,0.230769231
5.59699E-5,14.001222238,0.255518631,0.624382045,0.093220339,0.230769231
5.63412E-5,14.253869568,0.256778529,0.619932766,0.093220339,0.230769231
5.68624E-5,14.502970011,0.25853979,0.615582361,0.093220339,0.230769231
5.72594E-5,14.754068561,0.259875938,0.611231956,0.093220339,0.230769231
5.76057E-5,15.00115702,0.261037321,0.606980423,0.093220339,0.230769231
5.81554E-5,15.255625292,0.262873235,0.602630018,0.093220339,0.230769231
5.85799E-5,15.500796332,0.264285129,0.598477358,0.093220339,0.230769231
5.89327E-5,15.753515637,0.265454292,0.594225826,0.093220339,0.256410256
5.93761E-5,16.002138288,0.266918472,0.590073166,0.093220339,0.256410256
5.967E-5,16.252069806,0.26788566,0.585920506,0.093220339,0.256410256
6.00073E-5,16.50348274,0.26899276,0.581767847,0.093220339,0.256410256
6.04748E-5,16.750431826,0.270521445,0.57771406,0.101694915,0.256410256
6.09042E-5,17.00532895,0.271919933,0.5735614,0.101694915,0.256410256
6.12354E-5,17.255811009,0.272994805,0.569507613,0.101694915,0.256410256
6.16399E-5,17.501581365,0.274303693,0.565552699,0.101694915,0.256410256
6.1982E-5,17.755024344,0.275406806,0.561498912,0.101694915,0.256410256
6.23068E-5,18.003618038,0.276450758,0.557543998,0.101694915,0.256410256
6.26616E-5,18.253670871,0.277588179,0.553589084,0.101694915,0.256410256
6.31003E-5,18.505122487,0.278989202,0.54963417,0.101694915,0.256410256
6.34624E-5,18.751893364,0.280141675,0.545778129,0.101694915,0.256410256
6.38325E-5,19.00014452,0.281315827,0.541922088,0.101694915,0.256410256
6.42019E-5,19.256138194,0.282484058,0.537967174,0.101694915,0.256410256
6.45447E-5,19.500862533,0.283564788,0.534210006,0.101694915,0.256410256
6.47514E-5,19.753065966,0.284214695,0.530353965,0.101694915,0.256410256
6.51231E-5,20.00639821,0.285380538,0.526497924,0.101694915,0.256410256
6.5431E-5,20.254513447,0.286343517,0.522740755,0.101694915,0.256410256
6.56504E-5,20.503577757,0.287028025,0.518983587,0.101694915,0.256410256
6.59855E-5,20.753736796,0.28807092,0.515226419,0.101694915,0.256410256
6.62297E-5,21.004948635,0.2888294,0.511469251,0.110169492,0.256410256
6.65386E-5,21.250670428,0.289786059,0.507810955,0.110169492,0.256410256
6.69177E-5,21.504249409,0.290956509,0.504053787,0.110169492,0.256410256
6.71861E-5,21.75232907,0.291783139,0.500395491,0.110169492,0.256410256
6.73953E-5,22.001412271,0.292425938,0.496737196,0.110169492,0.256410256
6.77225E-5,22.251411441,0.293429089,0.493078901,0.110169492,0.256410256
6.80847E-5,22.502765468,0.29453612,0.489420605,0.110169492,0.256410256
6.83831E-5,22.7552138,0.295445643,0.48576231,0.110169492,0.256410256
6.87873E-5,23.002135931,0.296674044,0.482202887,0.110169492,0.256410256
6.91069E-5,23.250351036,0.297642032,0.478643465,0.118644068,0.256410256
6.9476E-5,23.506621049,0.298756971,0.474985169,0.13559322,0.282051282
6.97389E-5,23.75025254,0.299548663,0.471524619,0.13559322,0.282051282
7.00996E-5,24.001925443,0.300632183,0.467965197,0.13559322,0.282051282
7.03961E-5,24.254828688,0.301520375,0.464405774,0.13559322,0.282051282
7.07916E-5,24.502020574,0.302701722,0.460945224,0.13559322,0.282051282
7.11605E-5,24.750432147,0.303799903,0.457484675,0.13559322,0.282051282
7.16364E-5,25.000296312,0.305211552,0.454024125,0.13559322,0.282051282
7.19034E-5,25.251446452,0.306000883,0.450563575,0.13559322,0.282051282
7.23479E-5,25.503895528,0.307311184,0.447103026,0.13559322,0.282051282
7.26738E-5,25.750493642,0.308268963,0.443741349,0.13559322,0.282051282
7.29728E-5,26.005367458,0.309145077,0.440280799,0.13559322,0.282051282
7.33398E-5,26.254099105,0.310217417,0.436919122,0.152542373,0.282051282
7.36558E-5,26.504007269,0.311138286,0.433557445,0.152542373,0.282051282
7.40061E-5,26.754948256,0.312156206,0.430195768,0.152542373,0.282051282
7.44183E-5,27.007221257,0.313350039,0.426834091,0.161016949,0.282051282
7.48653E-5,27.253620423,0.314639947,0.423571287,0.161016949,0.282051282
7.52185E-5,27.501309319,0.31565565,0.420308483,0.161016949,0.282051282
7.56864E-5,27.750298095,0.316996859,0.417045679,0.161016949,0.282051282
7.60491E-5,28.000655244,0.31803275,0.413782875,0.161016949,0.282051282
7.64782E-5,28.252470757,0.319254374,0.410520071,0.161016949,0.282051282
7.68591E-5,28.505470701,0.320335057,0.407257267,0.161016949,0.282051282
7.71599E-5,28.751826557,0.321186188,0.404093336,0.161016949,0.282051282
7.74587E-5,29.006924716,0.322029428,0.400830532,0.161016949,0.282051282
7.77576E-5,29.255362257,0.322870737,0.397666601,0.161016949,0.282051282
7.81518E-5,29.504901838,0.323977459,0.39450267,0.161016949,0.282051282
7.84231E-5,29.755450746,0.324736845,0.391338738,0.161016949,0.307692308
7.88581E-5,30.007134279,0.325950852,0.388174807,0.194915254,0.358974359
7.92153E-5,30.252059315,0.326944635,0.385109749,0.194915254,0.384615385
7.95791E-5,30.506183562,0.32795382,0.381945818,0.203389831,0.384615385
8.01149E-5,30.753725903,0.329434381,0.378880759,0.203389831,0.384615385
8.06295E-5,31.002933468,0.330850529,0.375815701,0.203389831,0.384615385
8.11232E-5,31.253609792,0.332203206,0.372750643,0.203389831,0.384615385
8.14252E-5,31.505506859,0.33302816,0.369685584,0.203389831,0.384615385
8.17585E-5,31.750320155,0.333936192,0.366719399,0.203389831,0.384615385
8.22891E-5,32.004606846,0.335376516,0.363654341,0.203389831,0.384615385
8.27702E-5,32.252165004,0.336676974,0.360688155,0.203389831,0.384615385
8.3308E-5,32.501401208,0.338124999,0.35772197,0.203389831,0.384615385
8.37325E-5,32.752057386,0.339263337,0.354755784,0.203389831,0.384615385
8.41067E-5,33.003863823,0.340263625,0.351789599,0.203389831,0.384615385
8.44872E-5,33.256788945,0.341277757,0.348823413,0.203389831,0.384615385
8.49809E-5,33.502547165,0.342588589,0.3459561,0.211864407,0.435897436
8.54894E-5,33.75836473,0.343933495,0.342989915,0.220338983,0.435897436
8.59486E-5,34.007014897,0.345143342,0.340122602,0.220338983,0.435897436
8.64974E-5,34.256990623,0.346583387,0.33725529,0.220338983,0.461538462
8.6938E-5,34.508493304,0.347734858,0.334387977,0.220338983,0.461538462
8.74463E-5,34.752796096,0.349058278,0.331619537,0.220338983,0.461538462
8.7912E-5,35.007008872,0.350266187,0.328752225,0.245762712,0.487179487
