X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-58.3863536,-17.5890908,train,7.718534561641041E-4,92.90364314253702,0.8420028570867448
-63.494323,-13.7377603,train,1.4357645146219472E-4,58.77516868854264,0.49781986510776577
-58.482015,-18.0296322,train,2.2516785782610306E-4,75.94882984327774,0.608558724160298
-67.4103151,-14.041528,train,4.6553224563954316E-4,88.34361718444923,0.7627096843157913
-65.4925636,-13.0480452,train,1.8503839084066026E-4,69.37199486706433,0.5609393105711992
-58.5980028,-16.9411827,train,1.445499502644918E-4,59.073535162234286,0.4995092185130866
-65.3577346,-16.0042336,train,1.2642572330572336E-4,52.334642960040085,0.4660689110362438
-63.8337922,-12.9680846,train,2.9090232242299065E-4,81.37014160549512,0.6676109110751015
-63.9935954,-13.292761,train,1.3712742699250244E-4,56.53608619741948,0.4863339961857365
-67.4103151,-14.041528,train,4.6553224563954316E-4,88.34361718444923,0.7627096843157913
-63.7467075,-13.1168276,train,1.920579875598981E-4,70.80071860314253,0.5700877293509082
-64.7172928,-15.3681688,train,1.00158177899809E-4,40.63610896316338,0.40882194376587666
-59.7657853,-18.3748487,train,1.3971431928970246E-4,57.51723096745825,0.4910038485235116
-67.4103151,-14.041528,train,4.6553224563954316E-4,88.34361718444923,0.7627096843157913
-65.182401,-14.8210659,train,1.7997694272421785E-4,68.40591051449546,0.5540975370494967
-58.4711308,-16.6894736,train,3.941038741178462E-4,85.82364501912252,0.7312603064230222
-65.5981924,-12.8772419,train,2.790757601615561E-4,80.461730796314,0.658337663239277
-57.5090998,-18.1980362,train,8.346083242007713E-5,31.60346568019937,0.36558353932742815
-63.6718443,-19.0596724,train,4.522379337929898E-5,7.773175805394002,0.23794758874453342
-66.3044892,-14.6470541,train,1.464841624284294E-4,59.542342029061516,0.5028322360458592
-63.1688888,-12.7944444,train,1.5949067205688283E-4,63.26223629229363,0.5240806523832309
-65.2439671,-13.1662127,train,1.8142171116856292E-4,68.6849274054159,0.5560721409812448
-59.0219023,-16.7150571,train,1.1749571143527098E-4,48.39736007830728,0.44789326879750135
-63.494323,-13.7377603,train,1.4357645146219472E-4,58.77516868854264,0.49781986510776577
-67.7526889,-11.6886744,train,4.334940574373325E-4,87.25492927221556,0.7495642874947109
-63.4795112,-14.1316603,train,1.5395760152326333E-4,61.56679781242867,0.5152675019615729
-58.5980028,-16.9411827,train,1.445499502644918E-4,59.073535162234286,0.4995092185130866
-67.4103151,-14.041528,train,4.6553224563954316E-4,88.34361718444923,0.7627096843157913
-63.1688888,-12.7944444,train,1.5949067205688283E-4,63.26223629229363,0.5240806523832309
-65.64896,-15.71308,train,1.157341070893809E-4,47.48511670419002,0.4441606799081807
-62.8822222,-13.4866666,train,6.342869468955212E-5,18.933474197416537,0.3045610023397414
-64.1635565,-16.3794914,train,6.953040476135242E-4,91.97628215860581,0.8276069040718442
-57.7535967,-17.7596162,train,2.3236673625446155E-4,76.84147121178798,0.6160293833994682
-65.3368133,-14.4470518,train,3.705615800647692E-5,3.68331582423498,0.20372822064773063
-65.1907631,-13.2956066,train,2.0467397348001526E-4,72.84791320012621,0.585606022445863
-58.772998,-16.7858185,train,1.6417798545424205E-4,64.79311658436421,0.5312997352912409
-64.8140277,-14.9867222,train,1.0505768224493774E-4,42.73235585023371,0.4204128836593387
-64.1635565,-16.3794914,train,6.953040476135242E-4,91.97628215860581,0.8276069040718442
-59.1756368,-16.3714264,train,1.2262939249459989E-4,50.56290035976491,0.45849038212438087
-63.2266347,-15.3676296,train,3.9288758461021627E-4,85.77088875998618,0.7306524355849434
-59.2303286,-16.8241081,train,1.1498311919418032E-4,47.080508254417204,0.44255405520141305
-64.8868627,-12.1008393,train,6.477335750276781E-5,19.838211433227414,0.3090223484268065
-60.3375499,-17.9561424,train,1.3685425410715977E-4,56.438576588872316,0.48583585818069297
-62.3403978,-14.0691353,train,6.467187986402186E-5,19.79193626328612,0.3086876619686337
-67.2162582,-12.6270519,train,6.733296197076149E-4,91.56515084541681,0.82297673038519
-64.8273055,-13.4885833,train,0.0019418523327493179,96.67036394690822,0.9305913894954012
-64.2216981,-12.5683329,train,0.002355104412678518,97.58594989822366,0.9420649732140759
-67.5053466,-14.2186061,train,1.6134310847686878E-4,64.0699730324213,0.5269600653486349
-63.9935954,-13.292761,train,1.3712742699250244E-4,56.53608619741948,0.4863339961857365
-65.4925636,-13.0480452,train,1.8503839084066026E-4,69.37199486706433,0.5609393105711992
-64.8219983,-16.6959958,train,0.0055160597045145416,99.44839390645605,0.9744149940938707
-61.03725,-14.76875,train,1.6238243966724226E-4,64.31189608080355,0.5285603871308079
-63.8337922,-12.9680846,train,2.9090232242299065E-4,81.37014160549512,0.6676109110751015
-64.6923227,-15.9913371,train,2.8525562897251615E-4,80.98470047115849,0.6632469386142611
-62.7280185,-22.1857552,train,0.003068762782243877,98.47711344914184,0.9549308738149902
-58.42285,-17.7988857,train,1.2768518193702474E-4,52.845921304273865,0.46853649558061466
-65.7986976,-14.5164311,train,4.8952376852862265E-5,9.754271949227107,0.25261000253148297
-64.6210838,-12.9766725,train,1.2526984796005513E-4,51.84177725347702,0.4637840202827655
-61.2100719,-17.4602341,train,4.823094103320789E-4,88.7703193314287,0.7690576083280528
-63.4067179,-14.3027334,train,1.3804590738115917E-4,56.85170420254911,0.4880018140139281
-65.4855363,-13.724503,train,7.200219423836986E-5,24.12367414201019,0.33205800755914455
-64.4797516,-14.9309763,train,2.493476673931067E-4,78.37188204136123,0.6325704332716298
-64.6923227,-15.9913371,train,2.8525562897251615E-4,80.98470047115849,0.6632469386142611
-58.670715,-16.5484328,train,1.550082907011252E-4,61.905138283597225,0.5169660722020694
-65.509588,-12.7323809,train,6.712299671701454E-4,91.46149349440074,0.8225212668765416
-65.7986976,-14.5164311,train,4.8952376852862265E-5,9.754271949227107,0.25261000253148297
-58.4711308,-16.6894736,train,3.941038741178462E-4,85.82364501912252,0.7312603064230222
-67.4883441,-13.8315587,train,1.4279770669672876E-4,58.5232435211096,0.496460243953879
-63.3590717,-21.2776239,train,2.167790738163022E-4,74.94706960653748,0.5994779785681319
-63.4980222,-14.8412291,train,6.083946965976528E-4,90.75048093700785,0.8077157711694474
-63.9935954,-13.292761,train,1.3712742699250244E-4,56.53608619741948,0.4863339961857365
-62.8822222,-13.4866666,train,6.342869468955212E-5,18.933474197416537,0.3045610023397414
-64.6923227,-15.9913371,train,2.8525562897251615E-4,80.98470047115849,0.6632469386142611
-65.4855363,-13.724503,train,7.200219423836986E-5,24.12367414201019,0.33205800755914455
-65.509588,-12.7323809,train,6.712299671701454E-4,91.46149349440074,0.8225212668765416
-64.1974531,-17.3589573,train,1.1460520002736553E-4,46.84022197103128,0.4417420364011429
-65.3583347,-15.5618528,train,6.526011944654293E-5,20.089914102571345,0.31062325771230864
-61.1421609,-17.8187112,train,4.453838022904943E-5,7.4294148588102,0.23518942123120473
-64.8140277,-14.9867222,train,1.0505768224493774E-4,42.73235585023371,0.4204128836593387
-65.8436282,-12.8131789,train,1.2644271311164408E-4,52.34176415978125,0.4661023506393394
-67.4103151,-14.041528,train,4.6553224563954316E-4,88.34361718444923,0.7627096843157913
-63.4795112,-14.1316603,train,1.5395760152326333E-4,61.56679781242867,0.5152675019615729
-63.4980222,-14.8412291,train,6.083946965976528E-4,90.75048093700785,0.8077157711694474
-67.4103151,-14.041528,train,4.6553224563954316E-4,88.34361718444923,0.7627096843157913
-65.4220153,-16.188676,train,4.0981143060835664E-4,86.41156878673482,0.7388710135415245
-64.0931353,-12.6160336,train,0.0014828389184118637,95.53268536164907,0.9110177497582236
-63.1847222,-13.08,train,1.0451835841139508E-4,42.46601240411873,0.41915929556853526
-66.6731933,-14.8187481,train,1.5231996496751742E-4,61.12055293688071,0.512596106808737
-66.1311417,-14.6834435,train,9.637814463855103E-5,38.41370556440415,0.39955759793436696
-61.7047595,-17.1638675,train,7.177454129255534E-5,23.968778835057538,0.3313560086346172
-58.770685,-16.336975,train,1.5691035455700616E-4,62.38423746941775,0.520010905899546
-67.7526889,-11.6886744,train,4.334940574373325E-4,87.25492927221556,0.7495642874947109
-58.7348711,-17.8953164,train,1.770719848780992E-4,67.96229621828462,0.5500736048335936
-64.1635565,-16.3794914,train,6.953040476135242E-4,91.97628215860581,0.8276069040718442
-58.4317654,-17.3695526,train,4.5396213287706273E-4,87.79011645346134,0.7581246919210259
-65.1186364,-12.3100022,train,1.1988033064450758E-4,49.53093458313792,0.45286679750434256
-58.482015,-18.0296322,train,2.2516785782610306E-4,75.94882984327774,0.608558724160298
-64.7210011,-16.4141706,train,2.9082941955091787E-4,81.36546863453836,0.6675552898817544
-65.54728,-15.55736,train,1.5729942529353947E-4,62.526187755946786,0.5206290093447665
-67.2162582,-12.6270519,train,6.733296197076149E-4,91.56515084541681,0.82297673038519
-58.7131493,-17.6132379,train,6.492067107107316E-5,19.90538840435358,0.30950763146493143
-64.7614134,-15.19307,train,0.0014408679815412324,95.38439201185612,0.9086625351884465
-64.8219983,-16.6959958,train,0.0055160597045145416,99.44839390645605,0.9744149940938707
-64.571908,-16.5696375,train,5.033534780953432E-5,10.682257061438545,0.2579060117541465
-62.1410022,-18.544191,train,3.753361152067047E-5,3.828604740558476,0.2058129261421175
-65.1776383,-15.9310118,train,8.289966417536708E-5,31.244558392183187,0.3640202466330322
-57.790837,-18.774965,train,3.575696888996238E-4,84.5014191641485,0.7117178827100967
-64.7881944,-14.8370833,train,7.345044653154234E-5,25.194661417757953,0.3364896037758978
-58.482015,-18.0296322,train,2.2516785782610306E-4,75.94882984327774,0.608558724160298
-63.1705,-17.7470556,train,0.004196756447740645,98.89678673737168,0.9666403359284129
-64.0931353,-12.6160336,train,0.0014828389184118637,95.53268536164907,0.9110177497582236
-59.1926449,-16.6501122,train,6.212982431976994E-4,90.92631703755879,0.8109543093369429
-58.667916,-17.2962265,train,2.735062234261727E-4,80.01282289891654,0.6537889709681769
-63.6718443,-19.0596724,train,4.522379337929898E-5,7.773175805394002,0.23794758874453342
-65.64896,-15.71308,train,1.157341070893809E-4,47.48511670419002,0.4441606799081807
-65.1776383,-15.9310118,train,8.289966417536708E-5,31.244558392183187,0.3640202466330322
-64.0931353,-12.6160336,train,0.0014828389184118637,95.53268536164907,0.9110177497582236
-61.2100719,-17.4602341,train,4.823094103320789E-4,88.7703193314287,0.7690576083280528
-64.2565503,-12.8394543,test,5.622234754517153E-5,14.483260121489435,0.27963478177953627
-67.3461951,-13.7331758,test,9.938676911888727E-5,40.198116280651085,0.40695461713559217
-61.0940555,-14.9256944,test,4.498705980573011E-4,87.66443959198787,0.7564606031444826
-62.7531507,-13.0517155,test,5.4656765852146145E-5,13.55950998788116,0.27398143436913514
-65.3577346,-16.0042336,test,1.2642572330572336E-4,52.334642960040085,0.4660689110362438
