Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
8.2965E-7,0.000082965,0.005658782,1,0,0
9.19189E-7,0.000174884,0.006265675,0.999901108,0,0
9.21152E-7,0.000266999,0.006278972,0.999802215,0,0
1.03248E-6,0.000573553,0.007032522,0.999505538,0,0
1.08657E-6,0.001107845,0.007398173,0.999011076,0,0
1.24746E-6,0.002531182,0.008484359,0.997824367,0,0
1.38311E-6,0.005077006,0.009398306,0.995945411,0,0
1.63147E-6,0.010000159,0.011067256,0.992681962,0,0.025641026
2.22374E-6,0.025069164,0.015024549,0.984968354,0,0.025641026
2.91645E-6,0.050041375,0.019613044,0.975178006,0,0.025641026
4.65372E-6,0.100125207,0.030934703,0.96133307,0,0.051282051
7.7004E-6,0.200250727,0.05017089,0.945905854,0,0.051282051
9.37276E-6,0.300753417,0.060408693,0.934236551,0,0.051282051
1.10201E-5,0.400771857,0.070279574,0.924446203,0,0.051282051
1.21868E-5,0.500470809,0.077146603,0.915941456,0,0.051282051
1.34773E-5,0.600746395,0.084624128,0.908227848,0,0.051282051
1.47166E-5,0.701016774,0.091692629,0.901206487,0,0.051282051
1.54128E-5,0.750838943,0.095615307,0.897943038,0,0.051282051
1.61425E-5,0.801195353,0.099690758,0.894778481,0,0.051282051
1.74793E-5,0.900265788,0.107062618,0.888943829,0,0.051282051
1.89051E-5,1.000381838,0.11479314,0.883504747,0,0.051282051
2.01782E-5,1.10197224,0.121583978,0.878362342,0,0.051282051
2.13842E-5,1.202007739,0.127921167,0.873615506,0,0.051282051
2.27599E-5,1.301547463,0.135039255,0.869165348,0,0.051282051
2.40719E-5,1.400118455,0.141720384,0.865011867,0.008474576,0.051282051
2.54315E-5,1.502010804,0.14853572,0.860957278,0.008474576,0.051282051
2.88002E-5,1.751613647,0.16496516,0.851859177,0.008474576,0.051282051
3.10427E-5,2.002948864,0.175555158,0.843552215,0.008474576,0.051282051
3.32236E-5,2.250378871,0.185599801,0.8359375,0.008474576,0.051282051
3.56718E-5,2.500328382,0.19658752,0.828718354,0.008474576,0.051282051
