variable,x,y
bol_landcover,0.0,0.3708093762397766
bol_landcover,2.0,0.5099083781242371
bol_landcover,3.0,0.5099083781242371
bol_landcover,4.0,0.5099083781242371
bol_landcover,5.0,0.5099083781242371
bol_landcover,6.0,0.5099083781242371
bol_landcover,7.0,0.5099083781242371
bol_landcover,8.0,0.4984518587589264
bol_landcover,9.0,0.5880988836288452
bol_landcover,10.0,0.29266178607940674
bol_landcover,11.0,0.5678315162658691
bol_landcover,12.0,0.5099083781242371
bol_landcover,13.0,0.9160330295562744
bol_landcover,14.0,0.5099083781242371
bol_landcover,16.0,0.9766442775726318
