variable,x,y
bol_landcover,0.0,0.43215426802635193
bol_landcover,2.0,0.43215426802635193
bol_landcover,3.0,0.8778822422027588
bol_landcover,4.0,0.3988054692745209
bol_landcover,5.0,0.43215426802635193
bol_landcover,6.0,0.43215426802635193
bol_landcover,7.0,0.43215426802635193
bol_landcover,8.0,0.43215426802635193
bol_landcover,9.0,0.5028577446937561
bol_landcover,10.0,0.18332570791244507
bol_landcover,11.0,0.6450164914131165
bol_landcover,12.0,0.8566334247589111
bol_landcover,13.0,0.7143228054046631
bol_landcover,14.0,0.43215426802635193
bol_landcover,16.0,0.9504161477088928
